,id,distribution_4,distribution_5,distribution_10,seg4,seg5,seg10
1152,360610116001.0,[0.2384 0.2007 0.2389 0.3221],[0.1745 0.1767 0.1803 0.1896 0.2784],[0.1047 0.0697 0.0912 0.086  0.0875 0.0928 0.0927 0.0974 0.1338 0.1446],0.09606666666666668,0.09831250000000002,0.09211111111111114
1153,360610116002.0,[0.1663 0.1866 0.2092 0.4387],[0.1362 0.1615 0.1226 0.1791 0.3998],[0.0724 0.0645 0.0839 0.0777 0.0543 0.0682 0.0876 0.0915 0.1632 0.2365],0.25106666666666666,0.25025,0.22199999999999998
1154,360610116003.0,[0.3323 0.0799 0.1379 0.4499],[0.3038 0.0806 0.1083 0.0575 0.4498],"[1.413e-01 1.622e-01 8.050e-02 2.000e-04 2.810e-02 8.020e-02 5.680e-02
 7.000e-04 2.242e-01 2.253e-01]",0.3762666666666667,0.442,0.3925
1155,360810779043.0,[0.3   0.274 0.249 0.177],[0.23  0.137 0.278 0.242 0.113],[0.093 0.138 0.07  0.067 0.207 0.071 0.132 0.109 0.065 0.048],0.09866666666666668,0.18749999999999997,0.2066666666666667
1156,360811033004.0,[0.214 0.143 0.5   0.143],[0.071 0.143 0.643 0.143 0.   ],[0.071 0.    0.143 0.    0.143 0.5   0.    0.143 0.    0.   ],0.3333333333333333,0.5537500000000001,0.5877777777777778
1157,360050414004.0,[0.891 0.    0.045 0.063],[0.891 0.    0.03  0.015 0.063],[0.891 0.    0.    0.    0.    0.03  0.015 0.    0.063 0.   ],0.8553333333333334,0.864375,0.8794444444444444
1158,360810779061.0,[0.23  0.309 0.321 0.14 ],[0.197 0.216 0.269 0.183 0.135],[0.127 0.07  0.073 0.143 0.125 0.144 0.098 0.084 0.08  0.055],0.17333333333333334,0.10625,0.15499999999999997
1159,360811459003.0,[0.137 0.298 0.497 0.068],[0.137 0.134 0.458 0.202 0.068],[0.137 0.    0.    0.134 0.164 0.295 0.202 0.    0.068 0.   ],0.3933333333333333,0.325625,0.48
1160,360610157001.0,[0.1393 0.159  0.1787 0.5229],[0.1085 0.1402 0.1356 0.1738 0.442 ],[0.0418 0.0665 0.0396 0.1007 0.0495 0.0861 0.0699 0.1036 0.1676 0.2743],0.3639333333333334,0.3024375,0.2737777777777778
1161,360610157002.0,[0.1758 0.1726 0.2113 0.4405],[0.1559 0.1594 0.1281 0.1793 0.3779],[0.1005 0.0554 0.0552 0.1041 0.0333 0.0947 0.0765 0.1028 0.1306 0.2472],0.2538666666666667,0.22200000000000003,0.2056111111111111
1162,360610157003.0,[0.2054 0.2474 0.2416 0.3052],[0.1611 0.2125 0.1988 0.1652 0.2622],[0.0869 0.0742 0.1059 0.1068 0.0793 0.1193 0.0835 0.0821 0.0796 0.1829],0.07386666666666668,0.09349999999999999,0.12738888888888888
1163,360610157004.0,[0.1153 0.2498 0.1551 0.4798],[0.1053 0.1951 0.073  0.1525 0.4739],[0.0986 0.0068 0.0135 0.1816 0.0646 0.0085 0.1106 0.0418 0.0713 0.4023],0.3064,0.3425,0.4385555555555556
1164,360610157005.0,[0.1552 0.1867 0.3032 0.3543],[0.1534 0.1146 0.2604 0.1608 0.3109],[0.1188 0.0349 0.0034 0.1112 0.0745 0.1858 0.0822 0.0788 0.1064 0.2045],0.2104,0.21406250000000002,0.25161111111111106
1165,360610157006.0,[0.2411 0.1973 0.2252 0.3366],[0.2099 0.1595 0.1902 0.1561 0.2844],[0.1187 0.0912 0.0837 0.0758 0.0692 0.1207 0.0656 0.0909 0.1037 0.1811],0.11533333333333333,0.1178125,0.1376666666666667
1166,360610157007.0,[0.1812 0.2361 0.2084 0.374 ],[0.1746 0.1845 0.1332 0.2028 0.3045],[0.0871 0.0877 0.0628 0.1218 0.0583 0.0749 0.0791 0.124  0.0621 0.2424],0.16553333333333334,0.134375,0.20900000000000005
1167,360610157008.0,[0.1754 0.2181 0.2509 0.3557],[0.1488 0.1752 0.2103 0.14   0.3258],[0.1026 0.0465 0.0635 0.1117 0.0696 0.1407 0.0579 0.0821 0.0908 0.2349],0.1420666666666667,0.1700625,0.2108333333333333
1168,360470082001.0,[0.937 0.028 0.03  0.004],[0.476 0.485 0.009 0.03  0.   ],[0.472 0.004 0.485 0.    0.004 0.004 0.    0.03  0.    0.   ],0.9166666666666666,0.70125,0.8416666666666667
1169,360810263001.0,[0.143 0.424 0.135 0.299],[0.087 0.414 0.162 0.038 0.299],[0.044 0.043 0.156 0.258 0.066 0.096 0.038 0.    0.202 0.096],0.2966666666666667,0.39125,0.3516666666666667
1170,360810263002.0,[0.03  0.014 0.645 0.311],[0.    0.044 0.319 0.326 0.311],[0.    0.    0.044 0.    0.    0.319 0.311 0.014 0.    0.311],0.608,0.44499999999999995,0.7127777777777778
1171,360810263003.0,[0.028 0.531 0.348 0.093],[0.018 0.337 0.359 0.201 0.085],[0.001 0.016 0.165 0.172 0.204 0.155 0.104 0.097 0.018 0.067],0.5053333333333333,0.37125,0.33388888888888885
1172,360610198001.0,[0.3867 0.2198 0.1992 0.1942],[0.3546 0.1938 0.183  0.107  0.1617],[0.2552 0.0994 0.0965 0.0973 0.0582 0.1247 0.0579 0.0491 0.0579 0.104 ],0.18233333333333332,0.1931875,0.20422222222222225
1173,360610198002.0,[0.393 0.208 0.192 0.208],[0.357 0.161 0.173 0.134 0.175],[0.257 0.1   0.086 0.075 0.083 0.09  0.069 0.065 0.079 0.096],0.19000000000000003,0.19625000000000004,0.17444444444444449
