id,distribution_4,distribution_5,distribution_10,seg4,seg5,seg10
60750101001,[0.215 0.189 0.296 0.3  ],[0.164 0.155 0.216 0.216 0.248],[0.079 0.085 0.073 0.082 0.086 0.131 0.105 0.112 0.127 0.121],0.12799999999999997,0.10062499999999998,0.10611111111111111
60750101002,[0.191 0.161 0.29  0.359],[0.143 0.103 0.192 0.22  0.342],[0.026 0.118 0.074 0.029 0.105 0.086 0.099 0.121 0.197 0.145],0.19799999999999995,0.20250000000000004,0.20666666666666664
60750102001,[0.185 0.178 0.264 0.374],[0.15  0.131 0.193 0.193 0.332],[0.084 0.066 0.067 0.065 0.081 0.112 0.116 0.077 0.138 0.194],0.18333333333333335,0.165625,0.17777777777777778
60750102002,[0.086 0.294 0.127 0.493],[0.086 0.052 0.34  0.031 0.491],[0.056 0.03  0.016 0.036 0.242 0.098 0.021 0.01  0.029 0.462],0.38266666666666665,0.5387500000000001,0.5599999999999999
60750102003,[0.231 0.135 0.287 0.347],[0.179 0.127 0.169 0.228 0.296],[0.099 0.08  0.066 0.061 0.06  0.109 0.103 0.125 0.099 0.197],0.1786666666666666,0.15562499999999999,0.14944444444444446
60750103001,[0.202 0.166 0.243 0.388],[0.139 0.139 0.165 0.178 0.378],[0.135 0.005 0.108 0.032 0.09  0.075 0.115 0.062 0.195 0.183],0.18466666666666667,0.223125,0.2622222222222222
60750103002,[0.054 0.119 0.178 0.648],[0.054 0.104 0.047 0.46  0.334],[0.053 0.001 0.054 0.05  0.015 0.032 0.088 0.373 0.145 0.189],0.5313333333333333,0.493125,0.45222222222222225
60750103003,[0.069 0.117 0.221 0.593],[0.069 0.069 0.047 0.24  0.573],[0.045 0.025 0.025 0.045 0.047 0.    0.201 0.04  0.09  0.484],0.4573333333333333,0.5175,0.5377777777777778
60750104001,[0.171 0.205 0.256 0.368],[0.156 0.073 0.175 0.291 0.305],[0.036 0.121 0.028 0.045 0.147 0.028 0.196 0.095 0.185 0.121],0.16533333333333333,0.245,0.2988888888888889
60750104002,[0.085 0.146 0.183 0.585],[0.082 0.084 0.12  0.436 0.277],[0.03  0.052 0.057 0.027 0.065 0.055 0.075 0.361 0.101 0.176],0.44733333333333336,0.391875,0.3761111111111111
60750104003,[0.142 0.233 0.209 0.416],[0.129 0.126 0.178 0.209 0.358],[0.049 0.08  0.053 0.073 0.12  0.058 0.088 0.121 0.16  0.198],0.2213333333333333,0.20874999999999996,0.22111111111111112
60750104004,[0.573 0.03  0.001 0.396],[0.037 0.561 0.004 0.037 0.36 ],[0.    0.037 0.535 0.026 0.004 0.    0.001 0.035 0.034 0.326],0.6253333333333333,0.6518749999999999,0.7355555555555556
