,user,radius
0,5,2181.4569662479917
1,61,1718.6487237203792
2,107,563.6434241973647
3,533,1945.3430620849256
4,850,5878.981602615719
5,909,2477.2435375809814
6,927,6706.877658945074
7,1051,1958.2770457309655
8,1136,2192.8936102669036
9,1323,8027.476343220379
10,1396,6650.979240298809
11,1433,1301.3631591788526
12,1511,1313.709327414473
13,1921,1705.6506668941574
14,1943,2111.37682163508
15,2217,8367.222822803642
16,2317,1233.2440492712697
17,2535,4615.765703333956
18,2833,6518.032982745954
19,2839,1872.7756258901709
20,3024,2582.5523043099433
21,3067,5009.113550210319
22,3070,2185.3294291077227
23,3123,6014.265190439172
24,3172,4609.2553638982345
25,3207,1572.6133133478893
26,3772,512.472721595059
27,4104,6764.4838339029175
28,4307,7345.811320148269
29,4328,5878.662619365198
30,4430,349.2681103902048
31,4659,699.0080024566516
32,4727,331.65485929488835
33,4753,2051.407700289546
34,5011,1503.6413378955033
35,5046,3314.5909008610643
36,5195,3425.9147000741996
37,5251,6046.372312546818
38,5278,6665.451448284193
39,5378,1954.5281171351212
40,5483,1633.3440491747444
41,5664,5100.604091113893
42,5744,2019.4996484827602
43,5823,4766.221504070843
44,5940,648.9469250371653
45,6062,1300.38060722775
46,6102,3667.4427452305513
47,6196,932.6555502801209
48,6206,3767.1682257572643
49,6299,3374.313025720787
50,6476,6435.040464524647
51,6592,4569.130484119827
52,6611,4199.652772482469
53,6620,3674.1662239492043
54,6661,4912.376486046075
55,6729,995.9446486523801
56,6910,7410.8320234304265
57,6954,7762.202853962854
58,6964,8010.042329132196
59,7021,1921.5908846643758
60,7091,3269.405492678275
61,7170,2087.8115987072997
62,7415,1699.7436243172112
63,7598,3634.436919034929
64,7635,3710.768026693088
65,7638,2380.276105483166
66,7685,3955.6551582804223
67,7812,8247.486814566577
68,8029,6078.071050393306
69,8107,6869.952755690759
70,8115,3623.7386831233557
71,8170,3447.5689111468937
72,8234,7320.78373303443
73,8264,3081.766945337164
74,8292,6224.201360907364
75,8296,14057.602418496297
76,8334,1779.7579268618267
77,8350,6844.3045606967335
78,8446,6987.782715827679
79,8576,4358.96718423017
80,8605,1996.7004989731292
81,8619,4640.906541329718
82,8671,1221.691999790287
83,8724,6644.683233156113
84,8728,3525.197824932855
85,8853,1794.5197927027525
86,8890,664.3023342016123
87,9005,77.39351894958959
88,9069,5063.450845134401
89,9237,3164.6282136523037
90,9452,2440.48354874089
91,9511,1681.1270614913467
92,9517,8811.186310781555
93,9738,4275.529588582611
94,9874,411.5104086054059
95,9925,8873.45372737566
96,10014,484.48542411008106
97,10061,2728.366015614846
98,10102,9754.217495179217
99,10254,17822.150369925057
100,10501,678.9558597984327
101,10864,2810.9798534743877
102,11016,6929.700129260469
103,11137,15378.969314862632
104,11261,4974.247115750216
105,11317,5105.300719582791
106,11343,4051.559665716942
107,11361,1285.8511178711024
108,11411,1378.6708991951946
109,11473,2343.778518428028
110,11638,5254.2386354977925
111,11680,2155.230829411281
112,11934,4923.4337475461525
113,12006,5066.271642031
114,12131,1040.132447950933
115,12194,2504.198325722596
116,12433,305.3268024737978
117,13086,454.1954674923886
118,13121,408.88623054056944
119,13254,4210.845164437084
120,13293,3301.8741533075186
121,13481,8983.533346343676
122,13599,3549.8047563101504
123,13627,2190.919848308997
124,13705,2141.2853776352617
125,13861,1861.5955548268269
126,14204,1370.1480346814428
127,14264,1400.6985064170694
128,14578,1169.3839338975913
129,14581,1144.8217611897708
130,14938,1080.3322217286895
131,14958,6279.319102751226
132,14997,2475.809667903856
133,15190,5607.902696167851
