id,distribution_4,distribution_5,distribution_10,seg4,seg5,seg10
456.0,[0.174 0.    0.575 0.251],[0.174 0.    0.575 0.    0.251],[0.028 0.147 0.    0.    0.    0.575 0.    0.    0.25  0.001],0.4346666666666667,0.5324999999999999,0.746111111111111
457.0,[0.2   0.    0.48  0.319],[0.2   0.    0.48  0.    0.319],[0.027 0.173 0.    0.    0.    0.48  0.    0.    0.316 0.003],0.3993333333333333,0.49937499999999996,0.7438888888888887
458.0,[0.235 0.    0.484 0.281],[0.235 0.    0.484 0.    0.281],[0.054 0.181 0.    0.    0.    0.484 0.    0.    0.183 0.098],0.35333333333333333,0.4999999999999999,0.6088888888888888
459.0,[0.048 0.    0.694 0.257],[0.048 0.    0.694 0.    0.257],[0.012 0.036 0.    0.    0.    0.694 0.    0.    0.252 0.005],0.602,0.689375,0.8294444444444443
460.0,[0.071 0.    0.505 0.424],[0.071 0.    0.505 0.    0.424],[0.013 0.058 0.    0.    0.    0.505 0.    0.    0.383 0.041],0.572,0.66125,0.7644444444444445
461.0,[0.165 0.    0.542 0.292],[0.165 0.    0.542 0.    0.292],[0.029 0.137 0.    0.    0.    0.542 0.    0.    0.287 0.006],0.446,0.5431250000000001,0.7394444444444446
462.0,[0.167 0.    0.646 0.187],[0.167 0.    0.646 0.    0.187],[0.014 0.152 0.    0.    0.    0.646 0.    0.    0.179 0.008],0.528,0.5575,0.7527777777777779
463.0,[0.117 0.    0.449 0.434],[0.117 0.    0.449 0.    0.434],[0.043 0.073 0.    0.    0.    0.449 0.    0.    0.397 0.037],0.5106666666666667,0.6037499999999999,0.7183333333333333
464.0,[0.11  0.    0.362 0.528],[0.11  0.    0.362 0.    0.528],[0.039 0.071 0.    0.    0.    0.362 0.    0.    0.448 0.081],0.52,0.6124999999999999,0.6772222222222223
465.0,[0.075 0.    0.761 0.164],[0.075 0.    0.761 0.    0.164],[0.015 0.06  0.    0.    0.    0.761 0.    0.    0.164 0.   ],0.6813333333333333,0.7012499999999999,0.8055555555555556
466.0,[0.085 0.    0.688 0.227],[0.085 0.    0.688 0.    0.227],[0.042 0.043 0.    0.    0.    0.688 0.    0.    0.201 0.026],0.584,0.6437499999999998,0.7655555555555554
467.0,[0.096 0.    0.204 0.701],[0.096 0.    0.204 0.    0.701],[0.005 0.09  0.    0.    0.    0.204 0.    0.    0.616 0.084],0.6006666666666667,0.6306249999999999,0.6894444444444445
468.0,[0.2   0.    0.588 0.212],[0.2   0.    0.588 0.    0.212],[0.004 0.196 0.    0.    0.    0.588 0.    0.    0.203 0.009],0.4506666666666666,0.5,0.7633333333333334
469.0,[0.093 0.    0.558 0.349],[0.093 0.    0.558 0.    0.349],[0.012 0.082 0.    0.    0.    0.558 0.    0.    0.347 0.002],0.5426666666666667,0.6337499999999999,0.7827777777777778
470.0,[0.257 0.    0.417 0.325],[0.257 0.    0.417 0.    0.325],[0.045 0.212 0.    0.    0.    0.417 0.    0.    0.283 0.043],0.33266666666666667,0.49937499999999996,0.6799999999999999
471.0,[0.171 0.    0.531 0.298],[0.171 0.    0.531 0.    0.298],[0.001 0.17  0.    0.    0.    0.531 0.    0.    0.294 0.003],0.4386666666666666,0.53625,0.7727777777777778
472.0,[0.1   0.    0.727 0.173],[0.1   0.    0.727 0.    0.173],[0.002 0.098 0.    0.    0.    0.727 0.    0.    0.158 0.015],0.636,0.6587499999999998,0.7611111111111112
473.0,[0.252 0.    0.661 0.087],[0.252 0.    0.661 0.    0.087],[0.006 0.246 0.    0.    0.    0.661 0.    0.    0.081 0.006],0.5506666666666667,0.64125,0.7855555555555555
478.0,[0.235 0.    0.498 0.267],[0.235 0.    0.498 0.    0.267],[0.039 0.195 0.    0.    0.    0.498 0.    0.    0.263 0.004],0.35333333333333333,0.4999999999999999,0.7294444444444445
479.0,[0.361 0.    0.354 0.284],[0.361 0.    0.354 0.    0.284],[0.195 0.166 0.    0.    0.    0.354 0.    0.    0.28  0.004],0.3326666666666666,0.49937499999999985,0.6616666666666667
480.0,[0.247 0.    0.534 0.219],[0.247 0.    0.534 0.    0.219],[0.038 0.21  0.    0.    0.    0.534 0.    0.    0.219 0.   ],0.3786666666666667,0.49999999999999994,0.736111111111111
481.0,[0.153 0.    0.402 0.446],[0.153 0.    0.402 0.    0.446],[0.007 0.146 0.    0.    0.    0.402 0.    0.    0.407 0.038],0.4633333333333334,0.559375,0.7277777777777777
482.0,[0.293 0.    0.542 0.165],[0.293 0.    0.542 0.    0.165],[0.008 0.284 0.    0.    0.    0.542 0.    0.    0.165 0.   ],0.4466666666666666,0.54375,0.7683333333333333
483.0,[0.031 0.    0.73  0.239],[0.031 0.    0.73  0.    0.239],[0.002 0.029 0.    0.    0.    0.73  0.    0.    0.238 0.001],0.64,0.7112499999999999,0.8533333333333332
484.0,[0.03  0.    0.675 0.295],[0.03  0.    0.675 0.    0.295],[0.005 0.025 0.    0.    0.    0.675 0.    0.    0.295 0.   ],0.6266666666666666,0.7124999999999999,0.8555555555555556
485.0,[0.25  0.    0.495 0.255],[0.25  0.    0.495 0.    0.255],[0.059 0.191 0.    0.    0.    0.495 0.    0.    0.255 0.   ],0.3333333333333333,0.4999999999999999,0.7122222222222223
486.0,[0.216 0.    0.5   0.284],[0.216 0.    0.5   0.    0.284],[0.019 0.196 0.    0.    0.    0.5   0.    0.    0.267 0.017],0.3786666666666667,0.49999999999999994,0.7372222222222222
487.0,[0.199 0.    0.455 0.346],[0.199 0.    0.455 0.    0.346],[0.041 0.158 0.    0.    0.    0.455 0.    0.    0.331 0.015],0.4013333333333333,0.50125,0.7155555555555556
488.0,[0.068 0.    0.667 0.265],[0.068 0.    0.667 0.    0.265],[0.024 0.044 0.    0.    0.    0.667 0.    0.    0.234 0.031],0.576,0.665,0.778888888888889
489.0,[0.381 0.    0.342 0.278],[0.381 0.    0.342 0.    0.278],[0.003 0.378 0.    0.    0.    0.342 0.    0.    0.272 0.006],0.3340000000000001,0.5006250000000001,0.7683333333333333
490.0,[0.557 0.    0.322 0.122],[0.557 0.    0.322 0.    0.122],[0.002 0.555 0.    0.    0.    0.322 0.    0.    0.034 0.088],0.5046666666666667,0.598125,0.7516666666666667
491.0,[0.201 0.    0.635 0.164],[0.201 0.    0.635 0.    0.164],[0.003 0.198 0.    0.    0.    0.635 0.    0.    0.164 0.   ],0.5133333333333333,0.545,0.7744444444444445
492.0,[0.943 0.    0.038 0.018],[0.943 0.    0.038 0.    0.018],[0.001 0.942 0.    0.    0.    0.038 0.    0.    0.018 0.   ],0.9246666666666666,0.9293749999999997,0.9361111111111112
493.0,[0.186 0.    0.587 0.227],[0.186 0.    0.587 0.    0.227],[0.006 0.18  0.    0.    0.    0.587 0.    0.    0.226 0.001],0.44933333333333336,0.5175,0.7699999999999999
494.0,[0.211 0.    0.66  0.129],[0.211 0.    0.66  0.    0.129],[0.021 0.19  0.    0.    0.    0.66  0.    0.    0.127 0.002],0.5466666666666667,0.5887499999999999,0.7522222222222222
495.0,[0.191 0.    0.595 0.214],[0.191 0.    0.595 0.    0.214],[0.063 0.128 0.    0.    0.    0.595 0.    0.    0.21  0.004],0.45999999999999996,0.51125,0.7033333333333334
496.0,[0.138 0.    0.507 0.355],[0.138 0.    0.507 0.    0.355],[0.008 0.131 0.    0.    0.    0.507 0.    0.    0.354 0.001],0.48266666666666663,0.5774999999999999,0.7683333333333333
497.0,[0.054 0.    0.622 0.324],[0.054 0.    0.622 0.    0.324],[0.    0.054 0.    0.    0.    0.622 0.    0.    0.323 0.001],0.5946666666666668,0.6825,0.8277777777777778
498.0,[0.226 0.    0.649 0.125],[0.226 0.    0.649 0.    0.125],[0.    0.226 0.    0.    0.    0.649 0.    0.    0.125 0.   ],0.532,0.5937499999999999,0.7777777777777777
503.0,[0.083 0.    0.844 0.072],[0.083 0.    0.844 0.    0.072],[0.    0.083 0.    0.    0.    0.844 0.    0.    0.072 0.   ],0.7926666666666665,0.8056249999999998,0.8272222222222223
505.0,[0.6   0.    0.125 0.275],[0.6   0.    0.125 0.    0.275],[0.575 0.025 0.    0.    0.    0.125 0.    0.    0.275 0.   ],0.5,0.5937499999999999,0.75
506.0,[0.014 0.    0.942 0.043],[0.014 0.    0.942 0.    0.043],[0.004 0.011 0.    0.    0.    0.942 0.    0.    0.043 0.   ],0.9233333333333333,0.928125,0.9355555555555555
507.0,[0.322 0.    0.562 0.116],[0.322 0.    0.562 0.    0.116],[0.06  0.261 0.    0.    0.    0.562 0.    0.    0.116 0.   ],0.5120000000000001,0.605,0.7105555555555556
508.0,[0.306 0.    0.474 0.22 ],[0.306 0.    0.474 0.    0.22 ],[0.043 0.263 0.    0.    0.    0.474 0.    0.    0.22  0.   ],0.37333333333333335,0.5,0.73
509.0,[0.333 0.    0.55  0.116],[0.333 0.    0.55  0.    0.116],[0.128 0.205 0.    0.    0.    0.55  0.    0.    0.116 0.   ],0.5113333333333333,0.604375,0.6661111111111111
510.0,[0.23  0.    0.423 0.346],[0.23  0.    0.423 0.    0.346],[0.04  0.19  0.    0.    0.    0.423 0.    0.    0.302 0.044],0.3593333333333333,0.49937499999999996,0.6838888888888889
