,id,distribution_4,distribution_5,distribution_10,seg4,seg5,seg10
50,104,[0.    0.848 0.13  0.022],[0.    0.    0.978 0.    0.022],[0.    0.    0.    0.    0.848 0.13  0.    0.    0.022 0.   ],0.7973333333333333,0.9724999999999998,0.8644444444444446
51,105,[0.    0.234 0.766 0.   ],[0. 0. 1. 0. 0.],[0.    0.    0.    0.    0.234 0.766 0.    0.    0.    0.   ],0.6880000000000001,1.0,0.888888888888889
52,106,[0.    0.013 0.974 0.013],[0.    0.    0.987 0.    0.013],[0.    0.    0.    0.    0.013 0.974 0.    0.    0.013 0.   ],0.9653333333333333,0.9837499999999999,0.971111111111111
53,107,[0.197 0.013 0.299 0.49 ],[0.    0.197 0.312 0.    0.49 ],[0.    0.    0.197 0.    0.013 0.299 0.    0.    0.484 0.006],0.38599999999999995,0.5031249999999999,0.7561111111111111
54,108,[0.    0.    0.988 0.012],[0.    0.    0.988 0.    0.012],[0.    0.    0.    0.    0.    0.988 0.    0.    0.012 0.   ],0.984,0.985,0.9866666666666668
55,109,[0.    0.023 0.488 0.488],[0.    0.    0.512 0.    0.488],[0.    0.    0.    0.    0.023 0.488 0.    0.    0.488 0.   ],0.6353333333333333,0.7499999999999999,0.8627777777777778
56,110,[0.055 0.003 0.429 0.514],[0.    0.055 0.432 0.    0.514],[0.    0.    0.055 0.    0.003 0.429 0.    0.    0.512 0.001],0.59,0.6818749999999999,0.8233333333333333
57,111,[0.    0.    0.465 0.535],[0.    0.    0.465 0.    0.535],[0.    0.    0.    0.    0.    0.465 0.    0.    0.468 0.067],0.6666666666666666,0.7499999999999999,0.8144444444444443
58,112,[0.    0.071 0.927 0.003],[0.    0.    0.997 0.    0.003],[0.    0.    0.    0.    0.071 0.927 0.    0.    0.003 0.   ],0.9020000000000001,0.99625,0.9183333333333333
59,113,[0.    0.003 0.699 0.298],[0.    0.    0.702 0.    0.298],[0.    0.    0.    0.    0.003 0.699 0.    0.    0.298 0.   ],0.6626666666666666,0.7500000000000001,0.8855555555555554
60,114,[0.    0.    0.074 0.926],[0.    0.    0.074 0.    0.926],[0.    0.    0.    0.    0.    0.074 0.    0.    0.926 0.   ],0.9013333333333332,0.9075,0.9177777777777778
61,115,[0.    0.039 0.91  0.052],[0.    0.    0.948 0.    0.052],[0.    0.    0.    0.    0.039 0.91  0.    0.    0.052 0.   ],0.8793333333333333,0.9349999999999999,0.8994444444444445
62,116,[0.    0.    0.667 0.333],[0.    0.    0.667 0.    0.333],[0.    0.    0.    0.    0.    0.667 0.    0.    0.333 0.   ],0.6666666666666666,0.7499999999999999,0.888888888888889
63,117,[0.    0.    0.373 0.627],[0.    0.    0.373 0.    0.627],[0.    0.    0.    0.    0.    0.373 0.    0.    0.627 0.   ],0.6666666666666666,0.7499999999999999,0.888888888888889
64,119,[0.    0.    0.828 0.172],[0.    0.    0.828 0.    0.172],[0.    0.    0.    0.    0.    0.828 0.    0.    0.172 0.   ],0.7706666666666666,0.7849999999999999,0.888888888888889
65,120,[0.    0.    0.667 0.333],[0.    0.    0.667 0.    0.333],[0.    0.    0.    0.    0.    0.667 0.    0.    0.333 0.   ],0.6666666666666666,0.7499999999999999,0.888888888888889
66,122,[0. 1. 0. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
67,123,[0. 0. 0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,1.0,1.0000000000000002
68,128,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
69,132,[0.    0.231 0.485 0.284],[0.    0.    0.716 0.    0.284],[0.    0.    0.    0.    0.231 0.485 0.    0.    0.284 0.   ],0.3586666666666667,0.7500000000000001,0.7777777777777778
70,133,[0.    0.004 0.723 0.273],[0.    0.    0.727 0.    0.273],[0.    0.    0.    0.    0.004 0.723 0.    0.    0.273 0.   ],0.6613333333333333,0.7499999999999999,0.8844444444444445
71,134,[0.    0.006 0.436 0.558],[0.    0.    0.442 0.    0.558],[0.    0.    0.    0.    0.006 0.436 0.    0.    0.558 0.   ],0.6586666666666666,0.7500000000000001,0.8822222222222222
72,135,[0.001 0.173 0.264 0.562],[0.    0.001 0.437 0.    0.562],[0.    0.    0.001 0.    0.173 0.264 0.    0.    0.56  0.002],0.43466666666666676,0.74875,0.7744444444444446
73,136,[0.    0.007 0.62  0.374],[0.    0.    0.626 0.    0.374],[0.    0.    0.    0.    0.007 0.62  0.    0.    0.372 0.002],0.658,0.7499999999999999,0.8794444444444445
74,137,[0.205 0.269 0.433 0.093],[0.    0.205 0.702 0.    0.093],[0.    0.    0.205 0.    0.269 0.433 0.    0.    0.006 0.087],0.26933333333333337,0.6337499999999999,0.6744444444444444
