,index,POI_ID,distribution_4,distribution_5,distribution_10,seg4,seg5,seg10,Latitude,Longitude,poi
0,0,POI_10004357941766489675,[0.02 0.   0.98 0.  ],[0.02 0.   0.98 0.   0.  ],[0.   0.02 0.   0.   0.   0.98 0.   0.   0.   0.  ],0.9733333333333332,0.975,0.977777777777778,116.635,40.035,700016650
1,1,POI_10004474610730987134,[0.092 0.    0.618 0.29 ],[0.092 0.    0.618 0.    0.29 ],[0.014 0.078 0.    0.    0.    0.618 0.    0.    0.287 0.003],0.544,0.635,0.7833333333333334,116.245,40.035,700507836
2,2,POI_10008934012831582125,[0.164 0.    0.688 0.148],[0.164 0.    0.688 0.    0.148],[0.043 0.121 0.    0.    0.    0.688 0.    0.    0.141 0.007],0.584,0.61,0.7222222222222221,116.42,39.975,700417818
3,3,POI_1000912717672620395,[0.121 0.    0.478 0.4  ],[0.121 0.    0.478 0.    0.4  ],[0.031 0.09  0.    0.    0.    0.478 0.    0.    0.386 0.014],0.5046666666666667,0.5981249999999999,0.7383333333333333,116.335,39.94,700784049
4,4,POI_10012764949328449082,[1. 0. 0. 0.],[1. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002,116.48,39.83,700122307
5,5,POI_10015534060739154850,[0.175 0.    0.576 0.249],[0.175 0.    0.576 0.    0.249],[0.023 0.151 0.    0.    0.    0.576 0.    0.    0.246 0.003],0.4346666666666667,0.5312499999999999,0.7483333333333333,116.35,39.96,700234032
6,6,POI_10016448768534722872,[1. 0. 0. 0.],[1. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002,116.305,40.165,701004517
7,7,POI_10016872760722529936,[0.019 0.    0.518 0.463],[0.019 0.    0.518 0.    0.463],[0.    0.019 0.    0.    0.    0.518 0.    0.    0.461 0.002],0.6413333333333333,0.72625,0.8655555555555555,116.375,39.91,700157115
8,8,POI_10018013151545121348,[0.015 0.    0.354 0.631],[0.015 0.    0.354 0.    0.631],[0.    0.015 0.    0.    0.    0.354 0.    0.    0.631 0.   ],0.6466666666666666,0.73125,0.8722222222222223,116.23,40.16,None
9,9,POI_10018999444436569065,[0.005 0.    0.986 0.009],[0.005 0.    0.986 0.    0.009],[0.    0.005 0.    0.    0.    0.986 0.    0.    0.009 0.   ],0.9813333333333332,0.9825,0.9844444444444445,116.2,39.955,None
10,10,POI_10018999444436569065,[0.005 0.    0.986 0.009],[0.005 0.    0.986 0.    0.009],[0.    0.005 0.    0.    0.    0.986 0.    0.    0.009 0.   ],0.9813333333333332,0.9825,0.9844444444444445,116.205,39.955,None
11,11,POI_1002138756844816466,[0.152 0.    0.512 0.335],[0.152 0.    0.512 0.    0.335],[0.    0.152 0.    0.    0.    0.512 0.    0.    0.335 0.   ],0.4633333333333334,0.559375,0.7772222222222224,116.2,39.935,701240398
12,12,POI_10023822376631704826,[0.202 0.    0.681 0.117],[0.202 0.    0.681 0.    0.117],[0.011 0.191 0.    0.    0.    0.681 0.    0.    0.117 0.   ],0.5746666666666668,0.6037499999999999,0.7655555555555555,116.44,39.995,700624024
13,13,POI_10026501667660821004,[1. 0. 0. 0.],[1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002,116.355,39.735,700015349
14,14,POI_10028448505112829556,[0.1   0.    0.733 0.167],[0.1   0.    0.733 0.    0.167],[0.025 0.075 0.    0.    0.    0.733 0.    0.    0.15  0.017],0.644,0.6662499999999999,0.758888888888889,116.385,40.005,701038018
15,15,POI_10029502707054476122,[0.224 0.    0.741 0.035],[0.224 0.    0.741 0.    0.035],[0.054 0.169 0.    0.    0.    0.741 0.    0.    0.035 0.   ],0.6546666666666666,0.7062499999999999,0.7894444444444446,116.495,40.01,701144739
16,16,POI_10029732353284001173,[0.301 0.    0.457 0.242],[0.301 0.    0.457 0.    0.242],[0.031 0.27  0.    0.    0.    0.457 0.    0.    0.191 0.051],0.344,0.5,0.6866666666666666,116.385,39.885,701094208
17,17,POI_10032134641727477813,[0.061 0.    0.647 0.292],[0.061 0.    0.647 0.    0.292],[0.    0.061 0.    0.    0.    0.647 0.    0.    0.292 0.   ],0.5853333333333334,0.6737499999999998,0.8211111111111111,116.645,39.835,701034584
18,18,POI_10036772067446150388,[0.28  0.    0.496 0.224],[0.28  0.    0.496 0.    0.224],[0.    0.28  0.    0.    0.    0.496 0.    0.    0.187 0.037],0.368,0.5,0.7366666666666666,116.35,39.76,700376314
19,19,POI_10038461249610127160,[0.048 0.    0.363 0.589],[0.048 0.    0.363 0.    0.589],[0.    0.048 0.    0.    0.    0.363 0.    0.    0.581 0.008],0.6026666666666666,0.6900000000000001,0.8266666666666667,116.39,39.925,700054348
20,20,POI_10041402719617587320,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002,116.425,39.875,700847824
21,21,POI_10042017092924912048,[0.065 0.    0.406 0.529],[0.065 0.    0.406 0.    0.529],[0.025 0.04  0.    0.    0.    0.406 0.    0.    0.411 0.118],0.58,0.66875,0.7055555555555556,116.435,39.93,701049570
22,22,POI_10045029846824818846,[0.134 0.    0.522 0.343],[0.134 0.    0.522 0.    0.343],[0.045 0.09  0.    0.    0.    0.522 0.    0.    0.313 0.03 ],0.4873333333333334,0.581875,0.7055555555555556,116.48,39.94,700553199
23,23,POI_10046170714844108245,[0.33  0.    0.578 0.092],[0.33  0.    0.578 0.    0.092],[0.056 0.274 0.    0.    0.    0.578 0.    0.    0.092 0.   ],0.5439999999999999,0.635,0.7244444444444446,116.5,39.785,700459514
24,24,POI_10048732471477811399,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002,116.26,39.78,700217759
25,25,POI_10048888737324380486,[0.023 0.    0.814 0.163],[0.023 0.    0.814 0.    0.163],[0.    0.023 0.    0.    0.    0.814 0.    0.    0.163 0.   ],0.7519999999999999,0.7674999999999998,0.8633333333333333,116.235,39.875,701230624
26,26,POI_10051939005742221618,[1. 0. 0. 0.],[1. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002,116.49,40.11,700509107
27,27,POI_10052615708402382626,[0.04 0.   0.47 0.49],[0.04 0.   0.47 0.   0.49],[0.007 0.033 0.    0.    0.    0.47  0.    0.    0.49  0.   ],0.6133333333333333,0.6999999999999998,0.8444444444444444,116.665,39.925,None
28,28,POI_10053647612477716992,[0.059 0.    0.765 0.176],[0.059 0.    0.765 0.    0.176],[0.029 0.029 0.    0.    0.    0.765 0.    0.    0.147 0.029],0.6866666666666666,0.7062499999999999,0.7916666666666666,116.47,40.03,700441041
29,29,POI_10056864806528722829,[0.    0.    0.455 0.545],[0.    0.    0.455 0.    0.545],[0.    0.    0.    0.    0.    0.455 0.    0.    0.545 0.   ],0.6666666666666666,0.7499999999999999,0.8888888888888891,116.36,40.065,700078155
30,30,POI_10056941566545470874,[0.175 0.    0.703 0.122],[0.175 0.    0.703 0.    0.122],[0.003 0.172 0.    0.    0.    0.703 0.    0.    0.122 0.   ],0.604,0.6287499999999999,0.7744444444444445,116.5,39.805,701209317
31,31,POI_10057950813453706266,[0.143 0.    0.512 0.345],[0.143 0.    0.512 0.    0.345],[0.006 0.137 0.    0.    0.    0.512 0.    0.    0.338 0.008],0.476,0.5712499999999999,0.7627777777777778,116.47,39.885,700075481
32,32,POI_10058582043189952432,[0.208 0.    0.792 0.   ],[0.208 0.    0.792 0.    0.   ],[0.    0.208 0.    0.    0.    0.792 0.    0.    0.    0.   ],0.7226666666666667,0.7499999999999999,0.888888888888889,116.65,39.85,700919895
33,33,POI_10058799256360084856,[0.244 0.    0.515 0.241],[0.244 0.    0.515 0.    0.241],[0.101 0.143 0.    0.    0.    0.515 0.    0.    0.204 0.037],0.3533333333333333,0.4999999999999999,0.6255555555555556,116.35,39.945,700205302
34,34,POI_10060553812563703377,[0.075 0.    0.557 0.368],[0.075 0.    0.557 0.    0.368],[0.027 0.048 0.    0.    0.    0.557 0.    0.    0.319 0.049],0.5666666666666667,0.65625,0.7511111111111112,116.46,39.905,700831569
35,35,POI_10061666849595454135,[0.159 0.    0.73  0.111],[0.159 0.    0.73  0.    0.111],[0.111 0.048 0.    0.    0.    0.73  0.    0.    0.111 0.   ],0.64,0.6625,0.7244444444444444,116.21,40.12,700892684
36,36,POI_10063050985083734999,[0.21  0.    0.648 0.141],[0.21  0.    0.648 0.    0.141],[0.022 0.188 0.    0.    0.    0.648 0.    0.    0.134 0.007],0.5313333333333333,0.5731250000000001,0.745,116.345,40.0,700214162
37,37,POI_10063182702432812820,[0.188 0.    0.73  0.082],[0.188 0.    0.73  0.    0.082],[0.03  0.158 0.    0.    0.    0.73  0.    0.    0.082 0.   ],0.64,0.6625,0.7644444444444445,116.425,39.97,700084481
38,38,POI_10065199410882176242,[0.536 0.    0.321 0.143],[0.536 0.    0.321 0.    0.143],[0.    0.536 0.    0.    0.    0.321 0.    0.    0.143 0.   ],0.476,0.57125,0.7777777777777778,116.31,39.86,701057954
39,39,POI_10066565336857646032,[0.5   0.    0.333 0.167],[0.5   0.    0.333 0.    0.167],[0.167 0.333 0.    0.    0.    0.333 0.    0.    0.167 0.   ],0.4439999999999999,0.54125,0.6666666666666666,116.345,39.705,700464668
40,40,POI_10072351267946242416,[0.059 0.    0.735 0.206],[0.059 0.    0.735 0.    0.206],[0.    0.059 0.    0.    0.    0.735 0.    0.    0.206 0.   ],0.6466666666666666,0.6762499999999999,0.8233333333333335,116.645,39.86,700752087
41,41,POI_10073442807543492622,[0.163 0.    0.449 0.388],[0.163 0.    0.449 0.    0.388],[0.106 0.057 0.    0.    0.    0.449 0.    0.    0.345 0.043],0.4493333333333333,0.5462499999999999,0.6666666666666666,116.54,39.955,700435269
42,42,POI_10073576713744809055,[0.   0.   0.75 0.25],[0.   0.   0.75 0.   0.25],[0.   0.   0.   0.   0.   0.75 0.   0.   0.25 0.  ],0.6666666666666666,0.7500000000000001,0.888888888888889,116.51,40.055,700156925
43,43,POI_1007494497340781791,[0.   0.   0.55 0.45],[0.   0.   0.55 0.   0.45],[0.   0.   0.   0.   0.   0.55 0.   0.   0.45 0.  ],0.6666666666666666,0.7499999999999999,0.888888888888889,116.505,40.08,700006569
44,44,POI_10077860445017278807,[0.123 0.    0.825 0.053],[0.123 0.    0.825 0.    0.053],[0.105 0.018 0.    0.    0.    0.825 0.    0.    0.053 0.   ],0.766,0.780625,0.8105555555555555,116.65,39.985,700464842
45,45,POI_1008807520362545454,[0.292 0.    0.66  0.048],[0.292 0.    0.66  0.    0.048],[0.006 0.286 0.    0.    0.    0.66  0.    0.    0.048 0.   ],0.6026666666666666,0.6900000000000001,0.828888888888889,116.5,39.84,700229928
46,46,POI_10088814489290924219,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002,116.43,39.725,701057591
47,47,POI_1008899508218494453,[0.176 0.    0.56  0.265],[0.176 0.    0.56  0.    0.265],[0.047 0.128 0.    0.    0.    0.56  0.    0.    0.262 0.003],0.4326666666666667,0.5306249999999999,0.7222222222222221,116.415,39.885,700615052
48,48,POI_10090938933750878892,[0.157 0.    0.401 0.442],[0.157 0.    0.401 0.    0.442],[0.036 0.121 0.    0.    0.    0.401 0.    0.    0.436 0.006],0.4573333333333333,0.5537500000000001,0.7311111111111112,116.37,39.89,700968899
49,49,POI_10090965906200860874,[0.065 0.    0.735 0.201],[0.065 0.    0.735 0.    0.201],[0.022 0.043 0.    0.    0.    0.735 0.    0.    0.201 0.   ],0.6459999999999999,0.6693749999999998,0.8172222222222223,116.355,39.865,700586990
50,50,POI_10092888087298407730,[0.229 0.    0.43  0.341],[0.229 0.    0.43  0.    0.341],[0.049 0.18  0.    0.    0.    0.43  0.    0.    0.341 0.   ],0.3613333333333333,0.5,0.7233333333333334,116.305,40.14,700618594
51,51,POI_10093416811578668867,[0.059 0.    0.906 0.035],[0.059 0.    0.906 0.    0.035],[0.    0.059 0.    0.    0.    0.906 0.    0.    0.035 0.   ],0.8746666666666667,0.8825,0.8955555555555555,116.525,39.93,700437417
52,52,POI_10095272955696551592,[0.136 0.    0.515 0.349],[0.136 0.    0.515 0.    0.349],[0.    0.136 0.    0.    0.    0.515 0.    0.    0.286 0.063],0.4853333333333333,0.58,0.7077777777777777,116.495,39.89,701214094
53,53,POI_10097855341876850689,[0.    0.    0.833 0.167],[0.    0.    0.833 0.    0.167],[0.    0.    0.    0.    0.    0.833 0.    0.    0.167 0.   ],0.7773333333333333,0.7912499999999998,0.8888888888888888,116.7,39.96,None
54,54,POI_10104889930337497636,[0.182 0.    0.727 0.091],[0.182 0.    0.727 0.    0.091],[0.091 0.091 0.    0.    0.    0.727 0.    0.    0.091 0.   ],0.636,0.6587499999999998,0.6966666666666667,116.145,39.705,700851274
55,55,POI_10111503854178572593,[0.137 0.    0.577 0.285],[0.137 0.    0.577 0.    0.285],[0.003 0.134 0.    0.    0.    0.577 0.    0.    0.267 0.018],0.4833333333333332,0.5781249999999999,0.7538888888888888,116.345,39.92,701207295
56,56,POI_10114792905162021394,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002,116.6,40.07,700124514
57,57,POI_10115708540535953339,[0.333 0.    0.667 0.   ],[0.333 0.    0.667 0.    0.   ],[0.    0.333 0.    0.    0.    0.667 0.    0.    0.    0.   ],0.6666666666666666,0.7499999999999999,0.888888888888889,116.48,40.11,700633525
58,58,POI_10116118772523857327,[0. 0. 0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,1.0,1.0000000000000002,116.425,40.095,701037976
59,59,POI_1011707381770928891,[1. 0. 0. 0.],[1. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002,116.34,40.13,700972163
60,60,POI_10117617057230257588,[0. 0. 0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,1.0,1.0000000000000002,116.165,39.795,700900222
61,61,POI_10125219635411465505,[0.099 0.    0.473 0.428],[0.099 0.    0.473 0.    0.428],[0.047 0.052 0.    0.    0.    0.473 0.    0.    0.427 0.001],0.5346666666666667,0.62625,0.7777777777777778,116.33,39.91,700627841
62,62,POI_10126515138511667666,[0.221 0.    0.446 0.333],[0.221 0.    0.446 0.    0.333],[0.012 0.209 0.    0.    0.    0.446 0.    0.    0.333 0.   ],0.372,0.5,0.7644444444444445,116.32,39.935,700219081
63,63,POI_10127609493551481180,[0.083 0.    0.684 0.232],[0.083 0.    0.684 0.    0.232],[0.001 0.082 0.    0.    0.    0.684 0.    0.    0.211 0.021],0.5793333333333334,0.645625,0.7727777777777778,116.29,39.845,700915834
64,64,POI_10132450237143577291,[0.    0.    0.929 0.071],[0.    0.    0.929 0.    0.071],[0.    0.    0.    0.    0.    0.929 0.    0.    0.071 0.   ],0.9053333333333334,0.91125,0.921111111111111,116.135,40.05,700493059
