,index,POI_ID,distribution_4,distribution_5,distribution_10,seg4,seg5,seg10,Latitude,Longitude,poi
65,65,POI_10132450237143577291,[0.    0.    0.929 0.071],[0.    0.    0.929 0.    0.071],[0.    0.    0.    0.    0.    0.929 0.    0.    0.071 0.   ],0.9053333333333334,0.91125,0.921111111111111,116.13,40.05,700493059
66,66,POI_1013304869486265519,[0. 0. 0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,1.0,1.0000000000000002,116.22,40.0,700202481
67,67,POI_10135628495248258142,[0.    0.    0.933 0.067],[0.    0.    0.933 0.    0.067],[0.    0.    0.    0.    0.    0.933 0.    0.    0.067 0.   ],0.9106666666666668,0.91625,0.9255555555555556,116.695,39.945,None
68,68,POI_10137172756227581482,[0.143 0.    0.734 0.124],[0.143 0.    0.734 0.    0.124],[0.    0.143 0.    0.    0.    0.734 0.    0.    0.025 0.099],0.6446666666666666,0.6668750000000001,0.7516666666666665,116.365,39.76,700966580
69,69,POI_10139099648726982714,[0. 0. 0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,1.0,1.0000000000000002,116.56,39.84,700355645
70,70,POI_10139577939397711722,[0.135 0.    0.865 0.   ],[0.135 0.    0.865 0.    0.   ],[0.    0.135 0.    0.    0.    0.865 0.    0.    0.    0.   ],0.82,0.83125,0.888888888888889,116.125,39.955,None
71,71,POI_10140915060464719924,[0.31  0.    0.429 0.26 ],[0.31  0.    0.429 0.    0.26 ],[0.02  0.29  0.    0.    0.    0.429 0.    0.    0.149 0.111],0.3326666666666666,0.4993749999999999,0.6438888888888887,116.355,39.995,700836187
72,72,POI_10143567025764134252,[0.  0.  0.5 0.5],[0.  0.  0.5 0.  0.5],[0.  0.  0.  0.  0.  0.5 0.  0.  0.5 0. ],0.6666666666666666,0.7499999999999999,0.888888888888889,116.64,39.81,700252995
73,73,POI_10144841959489385807,[0.145 0.    0.392 0.462],[0.145 0.    0.392 0.    0.462],[0.013 0.133 0.    0.    0.    0.392 0.    0.    0.455 0.008],0.4726666666666667,0.568125,0.7550000000000001,116.345,39.905,701054559
74,74,POI_10144894880273041901,[0.  0.  0.8 0.2],[0.  0.  0.8 0.  0.2],[0.  0.  0.  0.  0.  0.8 0.  0.  0.2 0. ],0.7333333333333334,0.7499999999999999,0.888888888888889,116.605,39.86,700316373
75,75,POI_10145112167153404986,[0.11  0.    0.373 0.516],[0.11  0.    0.373 0.    0.516],[0.007 0.103 0.    0.    0.    0.373 0.    0.    0.506 0.01 ],0.5193333333333333,0.6118750000000001,0.7583333333333333,116.36,39.88,700049042
76,76,POI_10145212028973434786,[0.015 0.    0.941 0.044],[0.015 0.    0.941 0.    0.044],[0.    0.015 0.    0.    0.    0.941 0.    0.    0.044 0.   ],0.9213333333333332,0.9262499999999998,0.9344444444444444,116.655,39.83,701104489
77,77,POI_10146748123553801631,[0.338 0.    0.07  0.592],[0.338 0.    0.07  0.    0.592],[0.056 0.282 0.    0.    0.    0.07  0.    0.    0.592 0.   ],0.5733333333333334,0.6625,0.7488888888888889,116.57,40.055,701168855
78,78,POI_10147060994905631891,[0.116 0.    0.577 0.307],[0.116 0.    0.577 0.    0.307],[0.094 0.021 0.    0.    0.    0.577 0.    0.    0.291 0.016],0.512,0.605,0.7427777777777778,116.315,39.935,701060470
79,79,POI_10149840659805807547,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002,116.205,40.145,700241145
80,80,POI_10150008508626256302,[0.25 0.   0.5  0.25],[0.25 0.   0.5  0.   0.25],[0.   0.25 0.   0.   0.   0.5  0.   0.   0.25 0.  ],0.3333333333333333,0.5,0.7777777777777777,116.31,39.705,700406737
81,81,POI_10151005444172573288,[0.073 0.    0.862 0.066],[0.073 0.    0.862 0.    0.066],[0.003 0.069 0.    0.    0.    0.862 0.    0.    0.066 0.   ],0.8153333333333332,0.8268749999999999,0.8466666666666668,116.365,39.795,700995547
82,82,POI_10151641233890310415,[0.039 0.    0.93  0.031],[0.039 0.    0.93  0.    0.031],[0.008 0.031 0.    0.    0.    0.93  0.    0.    0.031 0.   ],0.9066666666666668,0.9125,0.9222222222222224,116.21,39.705,701212853
83,83,POI_10163088416667636700,[0.    0.    0.188 0.812],[0.    0.    0.187 0.    0.813],[0.    0.    0.    0.    0.    0.187 0.    0.    0.813 0.   ],0.7493333333333334,0.76625,0.888888888888889,116.59,40.09,701243503
84,84,POI_10165513233061162924,[0.003 0.    0.992 0.005],[0.003 0.    0.992 0.    0.005],[0.    0.003 0.    0.    0.    0.992 0.    0.    0.005 0.   ],0.9893333333333332,0.99,0.991111111111111,116.125,39.96,None
85,85,POI_10169434049295485328,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002,116.295,40.17,700313634
86,86,POI_10178080237375795845,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002,116.355,39.82,None
87,87,POI_1018057901684487351,[0.511 0.    0.468 0.021],[0.511 0.    0.468 0.    0.021],[0.447 0.064 0.    0.    0.    0.468 0.    0.    0.021 0.   ],0.6386666666666667,0.72375,0.7944444444444444,116.38,39.92,701194036
88,88,POI_1019105574974325580,[0.672 0.    0.18  0.148],[0.672 0.    0.18  0.    0.148],[0.    0.672 0.    0.    0.    0.18  0.    0.    0.131 0.016],0.5626666666666666,0.5900000000000001,0.7594444444444446,116.54,40.06,700515611
89,89,POI_10192711567081800089,[0.25  0.    0.667 0.083],[0.25  0.    0.667 0.    0.083],[0.    0.25  0.    0.    0.    0.667 0.    0.    0.083 0.   ],0.556,0.64625,0.7966666666666666,116.55,40.08,700431253
90,90,POI_10193139598018826223,[0.   0.   0.96 0.04],[0.   0.   0.96 0.   0.04],[0.   0.   0.   0.   0.   0.96 0.   0.   0.04 0.  ],0.9466666666666668,0.95,0.9555555555555556,116.13,39.755,700164703
91,91,POI_1019313997356962734,[1. 0. 0. 0.],[1. 0. 0. 0. 0.],[0.889 0.111 0.    0.    0.    0.    0.    0.    0.    0.   ],1.0,1.0,0.888888888888889,116.105,39.71,None
92,92,POI_10193486710726745160,[0.131 0.    0.545 0.324],[0.131 0.    0.545 0.    0.324],[0.012 0.119 0.    0.    0.    0.545 0.    0.    0.272 0.053],0.492,0.58625,0.706111111111111,116.43,39.935,700227766
93,93,POI_10193510533931984881,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002,116.22,39.86,701120102
94,94,POI_10194924890102109596,[0.005 0.    0.97  0.025],[0.005 0.    0.97  0.    0.025],[0.    0.005 0.    0.    0.    0.97  0.    0.    0.025 0.   ],0.96,0.9625,0.9666666666666668,116.495,39.995,700953204
95,95,POI_10198216148457293940,[0.113 0.    0.607 0.28 ],[0.113 0.    0.607 0.    0.28 ],[0.    0.113 0.    0.    0.    0.607 0.    0.    0.28  0.   ],0.516,0.6087499999999999,0.7777777777777777,116.5,39.925,700515941
96,96,POI_10199470939990457113,[0.278 0.    0.502 0.22 ],[0.278 0.    0.502 0.    0.22 ],[0.033 0.245 0.    0.    0.    0.502 0.    0.    0.22  0.   ],0.3733333333333333,0.5,0.7411111111111112,116.475,39.8,700168714
97,97,POI_1020169040586581891,[0.222 0.    0.778 0.   ],[0.222 0.    0.778 0.    0.   ],[0.    0.222 0.    0.    0.    0.778 0.    0.    0.    0.   ],0.7040000000000001,0.7499999999999999,0.888888888888889,116.655,39.96,700167094
98,98,POI_10204338200172323919,[0.564 0.    0.091 0.345],[0.564 0.    0.091 0.    0.345],[0.545 0.018 0.    0.    0.    0.091 0.    0.    0.327 0.018],0.5453333333333333,0.63625,0.7472222222222223,116.3,40.005,701067152
99,99,POI_10205441544222797310,[0.205 0.    0.575 0.219],[0.205 0.    0.575 0.    0.219],[0.068 0.137 0.    0.    0.    0.575 0.    0.    0.205 0.014],0.434,0.499375,0.6861111111111111,116.19,39.87,700091999
100,100,POI_10205623795202302907,[0.125 0.    0.245 0.63 ],[0.125 0.    0.245 0.    0.63 ],[0.004 0.121 0.    0.    0.    0.245 0.    0.    0.63  0.   ],0.5066666666666667,0.5937499999999999,0.7733333333333334,116.465,39.96,700106417
101,101,POI_10206636940589871540,[0.097 0.    0.876 0.027],[0.097 0.    0.876 0.    0.027],[0.    0.097 0.    0.    0.    0.876 0.    0.    0.027 0.   ],0.8346666666666667,0.845,0.8622222222222222,116.55,40.095,701244467
102,102,POI_10208959652598804494,[0.042 0.    0.521 0.438],[0.042 0.    0.521 0.    0.438],[0.    0.042 0.    0.    0.    0.521 0.    0.    0.417 0.021],0.6113333333333334,0.698125,0.8194444444444444,116.21,39.93,700688587
103,103,POI_10209180515594480135,[0.323 0.    0.51  0.167],[0.323 0.    0.51  0.    0.167],[0.    0.323 0.    0.    0.    0.51  0.    0.    0.141 0.025],0.4439999999999999,0.54125,0.7494444444444445,116.525,39.905,700357508
104,104,POI_10211625908785488142,[0.789 0.    0.203 0.008],[0.789 0.    0.203 0.    0.008],[0.    0.789 0.    0.    0.    0.203 0.    0.    0.008 0.   ],0.7186666666666667,0.7399999999999999,0.8800000000000001,116.58,39.98,700893651
105,105,POI_10214685834820337676,[0.006 0.    0.445 0.548],[0.006 0.    0.445 0.    0.548],[0.003 0.003 0.    0.    0.    0.445 0.    0.    0.548 0.   ],0.658,0.741875,0.8816666666666667,116.255,40.145,700189269
106,106,POI_10220670260215482587,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002,116.46,39.8,700985905
107,107,POI_10223437454415213248,[0. 0. 0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,1.0,1.0000000000000002,116.305,39.785,700232718
108,108,POI_10224359176472957593,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002,116.61,39.885,700470578
109,109,POI_10225092544710286267,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002,116.355,39.715,700137036
110,110,POI_10227454691080079437,[0.632 0.    0.263 0.105],[0.632 0.    0.263 0.    0.105],[0.632 0.    0.    0.    0.    0.263 0.    0.    0.105 0.   ],0.5266666666666667,0.6187499999999999,0.7777777777777778,116.23,40.105,None
111,111,POI_10231212233314025212,[0.25 0.   0.75 0.  ],[0.25 0.   0.75 0.   0.  ],[0.25 0.   0.   0.   0.   0.75 0.   0.   0.   0.  ],0.6666666666666666,0.7499999999999999,0.888888888888889,116.56,39.885,701127344
112,112,POI_10234091277685068781,[0.142 0.    0.763 0.096],[0.142 0.    0.763 0.    0.096],[0.001 0.14  0.    0.    0.    0.763 0.    0.    0.094 0.001],0.6833333333333332,0.703125,0.7816666666666666,116.385,39.945,700541420
113,113,POI_10235734679353478798,[0.161 0.    0.284 0.556],[0.161 0.    0.284 0.    0.556],[0.    0.161 0.    0.    0.    0.284 0.    0.    0.552 0.004],0.4526666666666667,0.549375,0.773888888888889,116.505,39.925,700262340
114,114,POI_10237548561840688488,[0.247 0.    0.449 0.304],[0.247 0.    0.449 0.    0.304],[0.152 0.095 0.    0.    0.    0.449 0.    0.    0.189 0.115],0.3373333333333333,0.4999999999999999,0.5611111111111111,116.675,39.9,None
115,115,POI_10237955835355730954,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002,116.32,40.095,700537585
116,116,POI_10241423486337861510,[0. 0. 0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.0,1.0,1.0,116.165,40.1,700818573
117,117,POI_10244920444785273969,[0.333 0.    0.593 0.073],[0.333 0.    0.593 0.    0.073],[0.066 0.267 0.    0.    0.    0.593 0.    0.    0.073 0.   ],0.5686666666666667,0.658125,0.7338888888888888,116.44,39.885,700455851
