,id,distribution_4,distribution_5,distribution_10,seg4,seg5,seg10
0,0,[0. 0. 0. 1.],[0.    0.    0.    0.667 0.333],[0.    0.    0.    0.    0.    0.    0.    0.667 0.    0.333],1.0,0.7500000000000001,0.888888888888889
1,2,[0.    0.    0.029 0.971],[0.    0.    0.029 0.6   0.371],[0.    0.    0.    0.    0.    0.029 0.    0.6   0.    0.371],0.9613333333333333,0.71375,0.8566666666666668
2,3,[0.    0.    0.083 0.917],[0.    0.    0.083 0.083 0.833],[0.    0.    0.    0.    0.    0.083 0.    0.083 0.    0.833],0.8893333333333334,0.7918749999999999,0.8150000000000001
3,4,[0. 0. 0. 1.],[0.    0.    0.    0.318 0.682],[0.    0.    0.    0.    0.    0.    0.    0.318 0.    0.682],1.0,0.7500000000000001,0.888888888888889
4,42,[0.93 0.   0.07 0.  ],[0.93 0.   0.07 0.   0.  ],[0.   0.93 0.   0.   0.   0.07 0.   0.   0.   0.  ],0.9066666666666667,0.9125,0.9222222222222224
5,43,[0.967 0.    0.033 0.   ],[0.967 0.    0.033 0.    0.   ],[0.    0.967 0.    0.    0.    0.033 0.    0.    0.    0.   ],0.956,0.9587499999999999,0.9633333333333334
6,44,[0.8 0.  0.2 0. ],[0.8 0.  0.2 0.  0. ],[0.  0.8 0.  0.  0.  0.2 0.  0.  0.  0. ],0.7333333333333334,0.7499999999999999,0.888888888888889
7,47,[0. 1. 0. 0.],[0. 1. 0. 0. 0.],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.0,0.9999999999999999,1.0000000000000002
8,49,[0.  0.2 0.6 0.2],[0.  0.2 0.6 0.2 0. ],[0.  0.  0.  0.2 0.  0.6 0.  0.2 0.  0. ],0.4666666666666666,0.5,0.7777777777777779
9,52,[0.073 0.    0.    0.927],[0.073 0.    0.    0.122 0.805],[0.    0.073 0.    0.    0.    0.    0.    0.122 0.    0.805],0.9026666666666667,0.75625,0.8077777777777778
10,53,[0.    0.    0.066 0.934],[0.    0.    0.066 0.    0.934],[0.    0.    0.    0.    0.    0.066 0.    0.    0.    0.934],0.9119999999999999,0.9175,0.9266666666666667
11,54,[0.784 0.098 0.02  0.098],[0.784 0.098 0.02  0.    0.098],[0.    0.784 0.    0.098 0.    0.02  0.    0.    0.    0.098],0.7120000000000001,0.7300000000000001,0.76
12,55,[1. 0. 0. 0.],[1. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,0.9999999999999999,1.0000000000000002
13,56,[1. 0. 0. 0.],[1. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,0.9999999999999999,1.0000000000000002
