,id,distribution_4,distribution_5,distribution_10,seg4,seg5,seg10
0,7,[0.  0.5 0.5 0. ],[0.  0.5 0.5 0.  0. ],[0.  0.  0.  0.5 0.  0.5 0.  0.  0.  0. ],0.6666666666666666,0.7499999999999999,0.888888888888889
1,8,[0.167 0.    0.5   0.333],[0.167 0.    0.5   0.    0.333],[0.    0.167 0.    0.    0.    0.5   0.    0.    0.    0.333],0.44399999999999995,0.54125,0.7777777777777778
2,9,[0.2 0.2 0.  0.6],[0.2 0.2 0.  0.  0.6],[0.  0.2 0.  0.2 0.  0.  0.  0.  0.  0.6],0.4666666666666666,0.5,0.7777777777777777
3,12,[1. 0. 0. 0.],[1. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,0.9999999999999999,1.0000000000000002
4,15,[0.    0.    0.667 0.333],[0.    0.    0.667 0.333 0.   ],[0.    0.    0.    0.    0.    0.667 0.    0.333 0.    0.   ],0.6666666666666666,0.7499999999999999,0.888888888888889
5,17,[0. 0. 0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.0,1.0,1.0
6,18,[1. 0. 0. 0.],[1. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,0.9999999999999999,1.0000000000000002
7,19,[0.  0.  0.5 0.5],[0.  0.  0.5 0.5 0. ],[0.  0.  0.  0.  0.  0.5 0.  0.5 0.  0. ],0.6666666666666666,0.7499999999999999,0.888888888888889
8,20,[0. 0. 0. 1.],[0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.0,1.0,1.0000000000000002
9,21,[0.25 0.25 0.25 0.25],[0.25 0.25 0.25 0.   0.25],[0.   0.25 0.   0.25 0.   0.25 0.   0.   0.   0.25],0.0,0.24999999999999997,0.6666666666666666
10,23,[0.   0.75 0.25 0.  ],[0.   0.75 0.25 0.   0.  ],[0.   0.   0.   0.75 0.   0.25 0.   0.   0.   0.  ],0.6666666666666666,0.7499999999999999,0.888888888888889
11,24,[0.286 0.    0.429 0.286],[0.286 0.    0.429 0.286 0.   ],[0.    0.286 0.    0.    0.    0.429 0.    0.286 0.    0.   ],0.3339999999999999,0.5006249999999999,0.7783333333333333
12,27,[0. 1. 0. 0.],[0. 1. 0. 0. 0.],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.0,0.9999999999999999,1.0000000000000002
